Champion,Opponent,Winrate
Aphelios,Ashe,0.535725
Aphelios,Caitlyn,0.51125
Aphelios,Corki bot,0.4193249999999999
Aphelios,Ezreal,0.543575
Aphelios,Jhin,0.576
Aphelios,Jinx,0.4230749999999999
Aphelios,Kai'Sa,0.5874749999999999
Aphelios,Kog'Maw,0.4669999999999998
Aphelios,Xayah,0.5004499999999998
Ashe,Aphelios,0.585175
Ashe,Caitlyn,0.4714749999999999
Ashe,Corki bot,0.41125
Ashe,Ezreal,0.5337500000000001
Ashe,Jhin,0.5516249999999999
Ashe,Jinx,0.4112499999999998
Ashe,Kai'Sa,0.5566
Ashe,Kog'Maw,0.42255
Ashe,Xayah,0.4817499999999999
Caitlyn,Aphelios,0.652775
Caitlyn,Ashe,0.5543250000000001
Caitlyn,Corki bot,0.455625
Caitlyn,Ezreal,0.587925
Caitlyn,Jhin,0.5946749999999998
Caitlyn,Jinx,0.4418749999999998
Caitlyn,Kai'Sa,0.5823999999999999
Caitlyn,Kog'Maw,0.4924499999999999
Caitlyn,Xayah,0.5466999999999999
Corki bot,Aphelios,0.6610999999999999
Corki bot,Ashe,0.58875
Corki bot,Caitlyn,0.5621749999999999
Corki bot,Ezreal,0.6326750000000001
Corki bot,Jhin,0.63645
Corki bot,Jinx,0.5029749999999998
Corki bot,Kai'Sa,0.6678499999999999
Corki bot,Kog'Maw,0.5569250000000001
Corki bot,Xayah,0.6436
Ezreal,Aphelios,0.5011749999999999
Ezreal,Ashe,0.4662499999999999
Ezreal,Caitlyn,0.4120749999999999
Ezreal,Corki bot,0.367325
Ezreal,Jhin,0.5394999999999999
Ezreal,Jinx,0.3564249999999999
Ezreal,Kai'Sa,0.4931749999999998
Ezreal,Kog'Maw,0.3851249999999999
Ezreal,Xayah,0.4548249999999998
Jhin,Aphelios,0.497875
Jhin,Ashe,0.4483750000000001
Jhin,Caitlyn,0.4053250000000001
Jhin,Corki bot,0.36355
Jhin,Ezreal,0.4605000000000002
Jhin,Jinx,0.345
Jhin,Kai'Sa,0.4779250000000001
Jhin,Kog'Maw,0.38315
Jhin,Xayah,0.42485
Jinx,Aphelios,0.5769250000000001
Jinx,Ashe,0.5887500000000001
Jinx,Caitlyn,0.5581250000000001
Jinx,Corki bot,0.4970250000000001
Jinx,Ezreal,0.6435750000000001
Jinx,Jhin,0.655
Jinx,Kai'Sa,0.634725
Jinx,Kog'Maw,0.5187
Jinx,Xayah,0.5738500000000001
Kai'Sa,Aphelios,0.4724750000000001
Kai'Sa,Ashe,0.4606750000000001
Kai'Sa,Caitlyn,0.4176000000000001
Kai'Sa,Corki bot,0.3768
Kai'Sa,Ezreal,0.5068250000000002
Kai'Sa,Jhin,0.5335499999999999
Kai'Sa,Jinx,0.3797750000000001
Kai'Sa,Kog'Maw,0.424325
Kai'Sa,Xayah,0.45655
Kog'Maw,Aphelios,0.5330000000000001
Kog'Maw,Ashe,0.57745
Kog'Maw,Caitlyn,0.5075500000000001
Kog'Maw,Corki bot,0.4746250000000001
Kog'Maw,Ezreal,0.6148750000000002
Kog'Maw,Jhin,0.61685
Kog'Maw,Jinx,0.4812999999999999
Kog'Maw,Kai'Sa,0.633275
Kog'Maw,Xayah,0.6464500000000001
Xayah,Aphelios,0.536225
Xayah,Ashe,0.51825
Xayah,Caitlyn,0.4533000000000001
Xayah,Corki bot,0.437425
Xayah,Ezreal,0.5451750000000001
Xayah,Jhin,0.57515
Xayah,Jinx,0.42615
Xayah,Kai'Sa,0.5434499999999999
Xayah,Kog'Maw,0.456025
