Key,Value
"(""Kai'Sa"", 'Braum')",0.3183499999999999
"(""Kai'Sa"", 'Karma')",0.3035999999999998
"(""Kai'Sa"", 'Leona')",0.321625
"(""Kai'Sa"", 'Lulu')",0.2698749999999998
"(""Kai'Sa"", 'Nami')",0.1866499999999999
"(""Kai'Sa"", 'Nautilus')",0.2187749999999999
"(""Kai'Sa"", 'Pyke')",0.2354249999999999
"(""Kai'Sa"", 'Rakan')",0.273675
"(""Kai'Sa"", 'Rell')",0.365275
"(""Kai'Sa"", 'Thresh')",0.263075
"(""Kog'Maw"", 'Braum')",0.281025
"(""Kog'Maw"", 'Karma')",0.4430749999999999
"(""Kog'Maw"", 'Leona')",0.340925
"(""Kog'Maw"", 'Lulu')",0.3657499999999999
"(""Kog'Maw"", 'Nami')",0.2987749999999998
"(""Kog'Maw"", 'Nautilus')",0.3360499999999999
"(""Kog'Maw"", 'Pyke')",0.4746250000000001
"(""Kog'Maw"", 'Rakan')",0.2745499999999998
"(""Kog'Maw"", 'Rell')",0.436975
"(""Kog'Maw"", 'Thresh')",0.4069499999999998
"('Aphelios', 'Braum')",0.2134
"('Aphelios', 'Karma')",0.1901999999999999
"('Aphelios', 'Leona')",0.1434499999999999
"('Aphelios', 'Lulu')",0.2922749999999999
"('Aphelios', 'Nami')",0.1943
"('Aphelios', 'Nautilus')",0.2042999999999999
"('Aphelios', 'Pyke')",0.2883249999999999
"('Aphelios', 'Rakan')",0.4193249999999999
"('Aphelios', 'Rell')",0.2978749999999999
"('Aphelios', 'Thresh')",0.297025
"('Ashe', 'Braum')",0.3594500000000002
"('Ashe', 'Karma')",0.4112499999999998
"('Ashe', 'Leona')",0.3081
"('Ashe', 'Lulu')",0.3667749999999999
"('Ashe', 'Nami')",0.3468
"('Ashe', 'Nautilus')",0.3261749999999999
"('Ashe', 'Pyke')",0.344325
"('Ashe', 'Rakan')",0.369325
"('Ashe', 'Rell')",0.374175
"('Ashe', 'Thresh')",0.300475
"('Caitlyn', 'Braum')",0.3928
"('Caitlyn', 'Karma')",0.3350499999999999
"('Caitlyn', 'Leona')",0.3570499999999999
"('Caitlyn', 'Lulu')",0.2963249999999999
"('Caitlyn', 'Nami')",0.2493499999999998
"('Caitlyn', 'Nautilus')",0.2109749999999998
"('Caitlyn', 'Pyke')",0.328125
"('Caitlyn', 'Rakan')",0.4418749999999998
"('Caitlyn', 'Rell')",0.316975
"('Caitlyn', 'Thresh')",0.386025
"('Corki bot', 'Braum')",0.4849000000000001
"('Corki bot', 'Karma')",0.3316499999999999
"('Corki bot', 'Leona')",0.4376249999999999
"('Corki bot', 'Lulu')",0.344175
"('Corki bot', 'Nami')",0.46495
"('Corki bot', 'Nautilus')",0.3623249999999999
"('Corki bot', 'Pyke')",0.5029749999999998
"('Corki bot', 'Rakan')",0.4599749999999998
"('Corki bot', 'Rell')",0.4793249999999999
"('Corki bot', 'Thresh')",0.382875
"('Ezreal', 'Braum')",0.3564249999999999
"('Ezreal', 'Karma')",0.2846749999999999
"('Ezreal', 'Leona')",0.2881
"('Ezreal', 'Lulu')",0.31495
"('Ezreal', 'Nami')",0.269725
"('Ezreal', 'Nautilus')",0.26535
"('Ezreal', 'Pyke')",0.2292499999999998
"('Ezreal', 'Rakan')",0.2754999999999999
"('Ezreal', 'Rell')",0.3043499999999999
"('Ezreal', 'Thresh')",0.2086499999999999
"('Jhin', 'Braum')",0.2614749999999999
"('Jhin', 'Karma')",0.2960250000000001
"('Jhin', 'Leona')",0.257625
"('Jhin', 'Lulu')",0.1687249999999998
"('Jhin', 'Nami')",0.345
"('Jhin', 'Nautilus')",0.2161249999999999
"('Jhin', 'Pyke')",0.2352749999999999
"('Jhin', 'Rakan')",0.2700249999999999
"('Jhin', 'Rell')",0.304375
"('Jhin', 'Thresh')",0.200425
"('Jinx', 'Braum')",0.3598750000000001
"('Jinx', 'Karma')",0.4094250000000001
"('Jinx', 'Leona')",0.4970250000000001
"('Jinx', 'Lulu')",0.3725500000000001
"('Jinx', 'Nami')",0.3787000000000001
"('Jinx', 'Nautilus')",0.269525
"('Jinx', 'Pyke')",0.376075
"('Jinx', 'Rakan')",0.316
"('Jinx', 'Rell')",0.443325
"('Jinx', 'Thresh')",0.4397750000000001
"('Xayah', 'Braum')",0.3487999999999999
"('Xayah', 'Karma')",0.2472249999999999
"('Xayah', 'Leona')",0.2278
"('Xayah', 'Lulu')",0.291575
"('Xayah', 'Nami')",0.2091249999999999
"('Xayah', 'Nautilus')",0.3082999999999999
"('Xayah', 'Pyke')",0.42615
"('Xayah', 'Rakan')",0.3191499999999999
"('Xayah', 'Rell')",0.3342499999999999
"('Xayah', 'Thresh')",0.3334
