champ1,champ2,win_rate
Ashe,Rell,51.42
Ashe,Nautilus,50.58
Ashe,Lulu,52.04
Ashe,Rakan,51.82
Ashe,Pyke,50.6
Ashe,Thresh,49.17
Ashe,Karma,53.22
Ashe,Nami,50.7
Ashe,Braum,51.27
Ashe,Leona,49.26
Kai'Sa,Rell,51.63
Kai'Sa,Nautilus,46.85
Kai'Sa,Lulu,48.73
Kai'Sa,Rakan,48.56
Kai'Sa,Pyke,46.81
Kai'Sa,Thresh,48.24
Kai'Sa,Karma,49.48
Kai'Sa,Nami,44.86
Kai'Sa,Braum,50.08
Kai'Sa,Leona,50.24
Jhin,Rell,49.45
Jhin,Nautilus,47.0
Jhin,Lulu,44.94
Jhin,Rakan,48.67
Jhin,Pyke,47.06
Jhin,Thresh,45.99
Jhin,Karma,49.56
Jhin,Nami,51.45
Jhin,Braum,48.3
Jhin,Leona,48.19
Ezreal,Rell,49.25
Ezreal,Nautilus,48.77
Ezreal,Lulu,50.59
Ezreal,Rakan,48.69
Ezreal,Pyke,46.62
Ezreal,Thresh,46.12
Ezreal,Karma,48.78
Ezreal,Nami,48.24
Ezreal,Braum,51.66
Ezreal,Leona,48.63
Corki bot,Rell,54.83
Corki bot,Nautilus,51.23
Corki bot,Lulu,50.34
Corki bot,Rakan,54.65
Corki bot,Pyke,56.15
Corki bot,Thresh,51.67
Corki bot,Karma,49.24
Corki bot,Nami,54.63
Corki bot,Braum,55.38
Corki bot,Leona,53.14
Caitlyn,Rell,49.31
Caitlyn,Nautilus,46.15
Caitlyn,Lulu,49.4
Caitlyn,Rakan,54.9
Caitlyn,Pyke,50.13
Caitlyn,Thresh,52.77
Caitlyn,Karma,50.35
Caitlyn,Nami,46.98
Caitlyn,Braum,52.67
Caitlyn,Leona,51.23
Jinx,Rell,53.87
Jinx,Nautilus,47.85
Jinx,Lulu,51.47
Jinx,Rakan,49.18
Jinx,Pyke,51.19
Jinx,Thresh,53.89
Jinx,Karma,53.28
Jinx,Nami,51.24
Jinx,Braum,51.42
Jinx,Leona,56.95
Kog'Maw,Rell,53.71
Kog'Maw,Nautilus,50.8
Kog'Maw,Lulu,51.73
Kog'Maw,Rakan,47.76
Kog'Maw,Pyke,55.81
Kog'Maw,Thresh,53.16
Kog'Maw,Karma,54.72
Kog'Maw,Nami,48.51
Kog'Maw,Braum,48.36
Kog'Maw,Leona,50.8
Xayah,Rell,49.91
Xayah,Nautilus,50.0
Xayah,Lulu,49.3
Xayah,Rakan,49.9
Xayah,Pyke,53.96
Xayah,Thresh,50.81
Xayah,Karma,47.25
Xayah,Nami,45.28
Xayah,Braum,51.54
Xayah,Leona,46.7
Aphelios,Rell,48.86
Aphelios,Nautilus,46.5
Aphelios,Lulu,49.49
Aphelios,Rakan,54.4
Aphelios,Pyke,48.79
Aphelios,Thresh,49.53
Aphelios,Karma,44.98
Aphelios,Nami,45.03
Aphelios,Braum,46.03
Aphelios,Leona,43.5
